county,pop_income,lh_income,hs_income,aa_income,ba_income,ma_income
"Autauga County, Alabama",35988,20717,28092,35997,48745,56186
"Baldwin County, Alabama",32066,18963,25719,30079,47847,53780
"Barbour County, Alabama",26703,21820,21745,27422,40887,52182
"Bibb County, Alabama",30328,14517,30467,30446,28732,48952
"Blount County, Alabama",35743,23750,29642,38750,47382,51547
"Bullock County, Alabama",25576,23289,24483,24873,41310,-
"Butler County, Alabama",27811,19206,22833,28012,42660,52278
"Calhoun County, Alabama",29258,15906,25642,30201,39935,50025
"Chambers County, Alabama",29313,21377,25424,31195,45792,50827
"Cherokee County, Alabama",31644,20848,28331,31578,44524,53079
"Chilton County, Alabama",31572,26129,27656,35333,43809,49643
"Choctaw County, Alabama",30587,-,28508,27091,40893,35385
"Clarke County, Alabama",32318,19807,29416,38765,38277,53802
"Clay County, Alabama",26170,20432,27048,26641,37841,52656
"Cleburne County, Alabama",31230,22524,27319,34815,40278,49886
"Coffee County, Alabama",31266,22500,23010,30986,43306,55319
"Colbert County, Alabama",31495,23138,26999,30674,46669,50463
"Conecuh County, Alabama",27657,24479,25061,25330,45938,58417
"Coosa County, Alabama",26839,16943,24401,31492,28108,73274
"Covington County, Alabama",29699,19558,26595,28535,44632,53892
"Crenshaw County, Alabama",30265,20985,28513,28689,41216,50583
"Cullman County, Alabama",30982,21442,26453,32127,43284,52393
"Dale County, Alabama",30909,20603,25331,31136,46282,51533
"Dallas County, Alabama",25532,18718,22687,26511,37038,47823
"DeKalb County, Alabama",27062,19460,26487,29440,40692,51753
"Elmore County, Alabama",36391,16737,28351,36109,48868,57727
"Escambia County, Alabama",29554,16970,25895,29470,36778,58005
"Etowah County, Alabama",29829,20619,25029,30149,41807,51233
"Fayette County, Alabama",29764,20625,26710,30614,46875,39425
"Franklin County, Alabama",26996,22014,26325,25670,36883,52116
"Geneva County, Alabama",28465,17352,24779,31366,42219,51273
"Greene County, Alabama",21676,14453,20589,21634,38293,39345
"Hale County, Alabama",27244,15969,25197,30577,50366,52283
"Henry County, Alabama",30727,16807,24972,31088,47292,54107
"Houston County, Alabama",30699,18667,25068,30600,44676,56331
"Jackson County, Alabama",27422,22068,26649,27650,46250,50331
"Jefferson County, Alabama",35814,18438,26284,31261,49522,60195
"Lamar County, Alabama",30507,26044,30210,26386,44688,52464
"Lauderdale County, Alabama",31813,22422,27282,31016,41553,50671
"Lawrence County, Alabama",35719,22106,33740,37484,47813,54090
