county,pop,less_hs,some_hs,hs,sc,aa,ba,ma
"Autauga County, Alabama",36466,1306,3222,12519,7848,2603,5204,3764
"Baldwin County, Alabama",139946,3976,9980,40154,31278,13208,27056,14294
"Barbour County, Alabama",18387,1539,3285,6422,3265,1510,1431,935
"Bibb County, Alabama",15750,909,2131,6586,3323,911,971,919
"Blount County, Alabama",39472,2741,5141,13003,8869,4567,3522,1629
"Bullock County, Alabama",7333,554,1898,2504,1341,284,356,396
"Butler County, Alabama",13949,988,1654,5559,2395,1110,1328,915
"Calhoun County, Alabama",78661,4308,9586,25228,19882,5771,8247,5639
"Chambers County, Alabama",23854,1328,3380,9401,4853,1914,2086,892
"Cherokee County, Alabama",18694,1096,2403,6722,4294,1569,1463,1147
"Chilton County, Alabama",29735,2037,3881,12267,5051,2082,2830,1587
"Choctaw County, Alabama",9448,689,1309,3520,1991,809,740,390
"Clarke County, Alabama",17022,837,2390,7680,2883,1166,1317,749
"Clay County, Alabama",9446,1084,1314,3266,1976,761,626,419
"Cleburne County, Alabama",10366,775,1901,3936,2042,517,651,544
"Coffee County, Alabama",34614,1680,3465,10157,7807,3313,5251,2941
"Colbert County, Alabama",38271,1924,4420,13337,8624,2897,4501,2568
"Conecuh County, Alabama",8808,590,1222,4070,1619,544,434,329
"Coosa County, Alabama",7907,801,1339,2873,1675,433,489,297
"Covington County, Alabama",26492,2002,3049,9115,5708,2665,2653,1300
"Crenshaw County, Alabama",9551,862,1209,3680,1749,652,1045,354
"Cullman County, Alabama",56323,3770,6280,19784,11994,6064,5435,2996
"Dale County, Alabama",33363,1768,2958,11033,8960,3283,3540,1821
"Dallas County, Alabama",27038,1631,4042,9857,5400,2381,2233,1494
"DeKalb County, Alabama",47440,5833,7148,16259,8444,4364,3154,2238
"Elmore County, Alabama",54950,2180,5058,19476,11196,4820,7600,4620
"Escambia County, Alabama",25762,1521,3514,11189,4759,1784,1901,1094
"Etowah County, Alabama",71696,4310,8272,23334,17981,5975,7513,4311
"Fayette County, Alabama",11806,902,1550,4609,2355,720,1048,622
"Franklin County, Alabama",20928,2327,2765,7678,3845,1720,1660,933
"Geneva County, Alabama",18805,1614,2582,6762,4184,1470,1559,634
"Greene County, Alabama",5965,471,904,2444,1193,358,457,138
"Hale County, Alabama",10229,591,1312,4377,1815,699,992,443
