county,establishments
"Autauga County, Alabama",851
"Baldwin County, Alabama",5235
"Barbour County, Alabama",452
"Bibb County, Alabama",290
"Blount County, Alabama",675
"Bullock County, Alabama",107
"Butler County, Alabama",409
"Calhoun County, Alabama",2326
"Chambers County, Alabama",547
"Cherokee County, Alabama",361
"Chilton County, Alabama",738
"Choctaw County, Alabama",252
"Clarke County, Alabama",595
"Clay County, Alabama",190
"Cleburne County, Alabama",160
"Coffee County, Alabama",986
"Colbert County, Alabama",1229
"Conecuh County, Alabama",188
"Coosa County, Alabama",93
"Covington County, Alabama",808
"Crenshaw County, Alabama",214
"Cullman County, Alabama",1729
"Dale County, Alabama",739
"Dallas County, Alabama",738
"DeKalb County, Alabama",1091
"Elmore County, Alabama",1167
"Escambia County, Alabama",732
"Etowah County, Alabama",1974
"Fayette County, Alabama",314
"Franklin County, Alabama",523
"Geneva County, Alabama",407
"Greene County, Alabama",111
"Hale County, Alabama",180
"Henry County, Alabama",298
"Houston County, Alabama",2704
"Jackson County, Alabama",846
"Jefferson County, Alabama",16484
"Lamar County, Alabama",240
"Lauderdale County, Alabama",2031
"Lawrence County, Alabama",387
"Lee County, Alabama",2726
"Limestone County, Alabama",1372
"Lowndes County, Alabama",103
"Macon County, Alabama",200
"Madison County, Alabama",8325
"Marengo County, Alabama",467
"Marion County, Alabama",531
"Marshall County, Alabama",1805
"Mobile County, Alabama",8736
"Monroe County, Alabama",392
"Montgomery County, Alabama",5592
"Morgan County, Alabama",2573
"Perry County, Alabama",117
"Pickens County, Alabama",266
"Pike County, Alabama",647
"Randolph County, Alabama",329
"Russell County, Alabama",781
"St. Clair County, Alabama",1281
"Shelby County, Alabama",5132
"Sumter County, Alabama",196
"Talladega County, Alabama",1229
"Tallapoosa County, Alabama",740
"Tuscaloosa County, Alabama",4085
"Walker County, Alabama",1221
"Washington County, Alabama",210
"Wilcox County, Alabama",180
"Winston County, Alabama",448
"Aleutians East Borough, Alaska",55
"Aleutians West Census Area, Alaska",115
"Anchorage Municipality, Alaska",8798
"Bethel Census Area, Alaska",261
"Bristol Bay Borough, Alaska",77
"Denali Borough, Alaska",104
"Dillingham Census Area, Alaska",89
"Fairbanks North Star Borough, Alaska",2466
"Haines Borough, Alaska",141
"Hoonah-Angoon Census Area, Alaska",74
"Juneau City and Borough, Alaska",1151
"Kenai Peninsula Borough, Alaska",2104
"Ketchikan Gateway Borough, Alaska",602
"Kodiak Island Borough, Alaska",482
"Lake and Peninsula Borough, Alaska",58
"Matanuska-Susitna Borough, Alaska",2204
"Nome Census Area, Alaska",174
"North Slope Borough, Alaska",157
"Northwest Arctic Borough, Alaska",81
"Petersburg Census Area, Alaska",172
"Prince of Wales-Hyder Census Area, Alaska",148
"Sitka City and Borough, Alaska",375
"Skagway Municipality, Alaska",117
"Southeast Fairbanks Census Area, Alaska",167
"Valdez-Cordova Census Area, Alaska",496
"Wade Hampton Census Area, Alaska",76
"Wrangell City and Borough, Alaska",91
"Yakutat City and Borough, Alaska",28
"Yukon-Koyukuk Census Area, Alaska",96
"Apache County, Arizona",442
"Cochise County, Arizona",2150
"Coconino County, Arizona",3650
"Gila County, Arizona",994
"Graham County, Arizona",476
"Greenlee County, Arizona",86
"La Paz County, Arizona",341
"Maricopa County, Arizona",91270
"Mohave County, Arizona",3697
"Navajo County, Arizona",1734
"Pima County, Arizona",20180
"Pinal County, Arizona",3488
"Santa Cruz County, Arizona",1163
"Yavapai County, Arizona",5825
"Yuma County, Arizona",2963
"Arkansas County, Arkansas",510
"Ashley County, Arkansas",383
"Baxter County, Arkansas",1033
"Benton County, Arkansas",6063
"Boone County, Arkansas",878
"Bradley County, Arkansas",254
"Calhoun County, Arkansas",59
"Carroll County, Arkansas",695
"Chicot County, Arkansas",207
"Clark County, Arkansas",499
"Clay County, Arkansas",288
"Cleburne County, Arkansas",563
"Cleveland County, Arkansas",74
"Columbia County, Arkansas",558
"Conway County, Arkansas",412
"Craighead County, Arkansas",2480
"Crawford County, Arkansas",1061
"Crittenden County, Arkansas",825
"Cross County, Arkansas",343
"Dallas County, Arkansas",189
"Desha County, Arkansas",301
"Drew County, Arkansas",409
"Faulkner County, Arkansas",2522
"Franklin County, Arkansas",278
"Fulton County, Arkansas",160
"Garland County, Arkansas",2712
"Grant County, Arkansas",270
"Greene County, Arkansas",778
"Hempstead County, Arkansas",377
"Hot Spring County, Arkansas",481
"Howard County, Arkansas",285
"Independence County, Arkansas",786
"Izard County, Arkansas",227
"Jackson County, Arkansas",316
"Jefferson County, Arkansas",1330
"Johnson County, Arkansas",393
"Lafayette County, Arkansas",103
"Lawrence County, Arkansas",284
"Lee County, Arkansas",118
"Lincoln County, Arkansas",162
"Little River County, Arkansas",169
"Logan County, Arkansas",373
"Lonoke County, Arkansas",1044
"Madison County, Arkansas",187
"Marion County, Arkansas",206
"Miller County, Arkansas",735
"Mississippi County, Arkansas",790
"Monroe County, Arkansas",188
"Montgomery County, Arkansas",131
"Nevada County, Arkansas",120
"Newton County, Arkansas",89
"Ouachita County, Arkansas",500
"Perry County, Arkansas",102
"Phillips County, Arkansas",395
"Pike County, Arkansas",206
"Poinsett County, Arkansas",361
"Polk County, Arkansas",436
"Pope County, Arkansas",1574
"Prairie County, Arkansas",148
"Pulaski County, Arkansas",12079
"Randolph County, Arkansas",319
"St. Francis County, Arkansas",435
"Saline County, Arkansas",1887
"Scott County, Arkansas",136
"Searcy County, Arkansas",110
