county,wage
"Autauga County, Alabama",7.25
"Baldwin County, Alabama",7.25
"Barbour County, Alabama",7.25
"Bibb County, Alabama",7.25
"Blount County, Alabama",7.25
"Bullock County, Alabama",7.25
"Butler County, Alabama",7.25
"Calhoun County, Alabama",7.25
"Chambers County, Alabama",7.25
"Cherokee County, Alabama",7.25
"Chilton County, Alabama",7.25
"Choctaw County, Alabama",7.25
"Clarke County, Alabama",7.25
"Clay County, Alabama",7.25
"Cleburne County, Alabama",7.25
"Coffee County, Alabama",7.25
"Colbert County, Alabama",7.25
"Conecuh County, Alabama",7.25
"Coosa County, Alabama",7.25
"Covington County, Alabama",7.25
"Crenshaw County, Alabama",7.25
"Cullman County, Alabama",7.25
"Dale County, Alabama",7.25
"Dallas County, Alabama",7.25
"DeKalb County, Alabama",7.25
"Elmore County, Alabama",7.25
"Escambia County, Alabama",7.25
"Etowah County, Alabama",7.25
"Fayette County, Alabama",7.25
"Franklin County, Alabama",7.25
"Geneva County, Alabama",7.25
"Greene County, Alabama",7.25
"Hale County, Alabama",7.25
"Henry County, Alabama",7.25
"Houston County, Alabama",7.25
"Jackson County, Alabama",7.25
"Jefferson County, Alabama",7.25
"Lamar County, Alabama",7.25
"Lauderdale County, Alabama",7.25
"Lawrence County, Alabama",7.25
"Lee County, Alabama",7.25
"Limestone County, Alabama",7.25
"Lowndes County, Alabama",7.25
"Macon County, Alabama",7.25
"Madison County, Alabama",7.25
"Marengo County, Alabama",7.25
"Marion County, Alabama",7.25
"Marshall County, Alabama",7.25
"Mobile County, Alabama",7.25
"Monroe County, Alabama",7.25
"Montgomery County, Alabama",7.25
"Morgan County, Alabama",7.25
"Perry County, Alabama",7.25
"Pickens County, Alabama",7.25
"Pike County, Alabama",7.25
"Randolph County, Alabama",7.25
"Russell County, Alabama",7.25
"St. Clair County, Alabama",7.25
"Shelby County, Alabama",7.25
"Sumter County, Alabama",7.25
"Talladega County, Alabama",7.25
"Tallapoosa County, Alabama",7.25
"Tuscaloosa County, Alabama",7.25
"Walker County, Alabama",7.25
"Washington County, Alabama",7.25
"Wilcox County, Alabama",7.25
"Winston County, Alabama",7.25
"Aleutians East Borough, Alaska",9.75
"Aleutians West Census Area, Alaska",9.75
"Anchorage Municipality, Alaska",9.75
"Bethel Census Area, Alaska",9.75
"Bristol Bay Borough, Alaska",9.75
"Denali Borough, Alaska",9.75
"Dillingham Census Area, Alaska",9.75
"Fairbanks North Star Borough, Alaska",9.75
"Haines Borough, Alaska",9.75
"Hoonah-Angoon Census Area, Alaska",9.75
"Juneau City and Borough, Alaska",9.75
"Kenai Peninsula Borough, Alaska",9.75
"Ketchikan Gateway Borough, Alaska",9.75
"Kodiak Island Borough, Alaska",9.75
"Kusilvak Census Area, Alaska",9.75
"Lake and Peninsula Borough, Alaska",9.75
"Matanuska-Susitna Borough, Alaska",9.75
"Nome Census Area, Alaska",9.75
"North Slope Borough, Alaska",9.75
"Northwest Arctic Borough, Alaska",9.75
"Petersburg Borough, Alaska",9.75
"Prince of Wales-Hyder Census Area, Alaska",9.75
"Sitka City and Borough, Alaska",9.75
"Skagway Municipality, Alaska",9.75
"Southeast Fairbanks Census Area, Alaska",9.75
"Valdez-Cordova Census Area, Alaska",9.75
"Wrangell City and Borough, Alaska",9.75
"Yakutat City and Borough, Alaska",9.75
"Yukon-Koyukuk Census Area, Alaska",9.75
"Apache County, Arizona",8.05
"Cochise County, Arizona",8.05
"Coconino County, Arizona",8.05
"Gila County, Arizona",8.05
"Graham County, Arizona",8.05
"Greenlee County, Arizona",8.05
"La Paz County, Arizona",8.05
"Maricopa County, Arizona",8.05
"Mohave County, Arizona",8.05
"Navajo County, Arizona",8.05
"Pima County, Arizona",8.05
"Pinal County, Arizona",8.05
"Santa Cruz County, Arizona",8.05
"Yavapai County, Arizona",8.05
"Yuma County, Arizona",8.05
"Arkansas County, Arkansas",8
"Ashley County, Arkansas",8
"Baxter County, Arkansas",8
"Benton County, Arkansas",8
"Boone County, Arkansas",8
"Bradley County, Arkansas",8
"Calhoun County, Arkansas",8
"Carroll County, Arkansas",8
"Chicot County, Arkansas",8
"Clark County, Arkansas",8
"Clay County, Arkansas",8
"Cleburne County, Arkansas",8
"Cleveland County, Arkansas",8
"Columbia County, Arkansas",8
"Conway County, Arkansas",8
"Craighead County, Arkansas",8
"Crawford County, Arkansas",8
"Crittenden County, Arkansas",8
"Cross County, Arkansas",8
"Dallas County, Arkansas",8
"Desha County, Arkansas",8
"Drew County, Arkansas",8
"Faulkner County, Arkansas",8
"Franklin County, Arkansas",8
"Fulton County, Arkansas",8
"Garland County, Arkansas",8
"Grant County, Arkansas",8
"Greene County, Arkansas",8
"Hempstead County, Arkansas",8
"Hot Spring County, Arkansas",8
"Howard County, Arkansas",8
"Independence County, Arkansas",8
"Izard County, Arkansas",8
"Jackson County, Arkansas",8
"Jefferson County, Arkansas",8
"Johnson County, Arkansas",8
"Lafayette County, Arkansas",8
"Lawrence County, Arkansas",8
"Lee County, Arkansas",8
"Lincoln County, Arkansas",8
"Little River County, Arkansas",8
"Logan County, Arkansas",8
"Lonoke County, Arkansas",8
"Madison County, Arkansas",8
"Marion County, Arkansas",8
"Miller County, Arkansas",8
"Mississippi County, Arkansas",8
"Monroe County, Arkansas",8
"Montgomery County, Arkansas",8
"Nevada County, Arkansas",8
"Newton County, Arkansas",8
"Ouachita County, Arkansas",8
"Perry County, Arkansas",8
"Phillips County, Arkansas",8
"Pike County, Arkansas",8
"Poinsett County, Arkansas",8
"Polk County, Arkansas",8
"Pope County, Arkansas",8
"Prairie County, Arkansas",8
"Pulaski County, Arkansas",8
"Randolph County, Arkansas",8
"St. Francis County, Arkansas",8
"Saline County, Arkansas",8
"Scott County, Arkansas",8
"Searcy County, Arkansas",8
"Sebastian County, Arkansas",8
"Sevier County, Arkansas",8
"Sharp County, Arkansas",8
"Stone County, Arkansas",8
"Union County, Arkansas",8
"Van Buren County, Arkansas",8
"Washington County, Arkansas",8
"White County, Arkansas",8
"Woodruff County, Arkansas",8
"Yell County, Arkansas",8
"Alameda County, California",10
"Alpine County, California",10
"Amador County, California",10
"Butte County, California",10
"Calaveras County, California",10
"Colusa County, California",10
"Contra Costa County, California",10
"Del Norte County, California",10
"El Dorado County, California",10
"Fresno County, California",10
"Glenn County, California",10
"Humboldt County, California",10
"Imperial County, California",10
"Inyo County, California",10
"Kern County, California",10
"Kings County, California",10
"Lake County, California",10
"Lassen County, California",10
"Los Angeles County, California",10
"Madera County, California",10
"Marin County, California",10
"Mariposa County, California",10
"Mendocino County, California",10
"Merced County, California",10
"Modoc County, California",10
"Mono County, California",10
"Monterey County, California",10
"Napa County, California",10
"Nevada County, California",10
"Orange County, California",10
"Placer County, California",10
"Plumas County, California",10
"Riverside County, California",10
"Sacramento County, California",10
"San Benito County, California",10
"San Bernardino County, California",10
"San Diego County, California",10
"San Francisco County, California",10
"San Joaquin County, California",10
"San Luis Obispo County, California",10
"San Mateo County, California",10
"Santa Barbara County, California",10
"Santa Clara County, California",10
"Santa Cruz County, California",10
"Shasta County, California",10
"Sierra County, California",10
"Siskiyou County, California",10
"Solano County, California",10
"Sonoma County, California",10
"Stanislaus County, California",10
"Sutter County, California",10
"Tehama County, California",10
"Trinity County, California",10
"Tulare County, California",10
"Tuolumne County, California",10
"Ventura County, California",10
"Yolo County, California",10
"Yuba County, California",10
"Adams County, Colorado",8.31
"Alamosa County, Colorado",8.31
